depth,sec,nodes
8,0.075,1708
8,0.259,6343
8,0.238,14102
8,0.378,26135
8,0.438,28375
8,0.633,45917
8,2.635,176921
8,5.479,365035
8,6.485,437284
8,5.474,333968
8,5.116,332064
8,7.004,388428
8,5.423,362527
8,3.906,284785
8,5.089,351668
