depth,sec,nodes
8,0.143,1801
8,0.114,3544
8,0.238,9514
8,0.35,19346
8,0.388,25495
8,1.145,64203
8,1.841,127585
8,3.861,266763
8,4.975,354462
8,4.054,282186
8,3.963,272990
8,4.599,289168
8,5.284,312418
8,6.648,431467
8,7.722,505655
