depth,sec,nodes
8,0.114,1696
8,0.393,6343
8,0.494,13977
8,0.478,25201
8,0.49,25243
8,0.63,42871
8,2.217,152324
8,3.607,260136
8,2.9,215298
8,2.782,216927
8,2.12,167897
8,2.164,170738
8,2.493,208351
8,2.661,223252
8,2.467,209056
8,2.036,173919
8,5.314,516785
8,3.931,405639
8,3.823,401802
8,4.2,429796
8,2.643,279690
8,1.345,137152
8,3.129,333244
8,2.034,223873
8,1.694,175872
8,0.775,79827
