depth,sec,nodes
12,20.001,762030
11,20.001,797275
10,20.001,690625
9,20.001,873545
9,20.001,610252
4,0.022,740
7,9.268,358314
5,0.634,25636
3,0.016,573
2,0.0,2
1,0.003,192
