depth,sec,nodes
8,0.303,1801
8,0.252,3544
8,0.485,9514
8,0.566,18891
8,0.404,24950
8,0.996,60070
8,2.323,163152
8,3.562,268585
8,4.792,377633
8,2.802,214273
8,2.413,190779
8,2.259,177768
8,2.833,233061
8,2.294,194672
8,2.121,209302
8,1.939,197740
8,6.518,623589
8,7.581,741798
