depth,sec,nodes
13,20.004,691368
12,20.001,809417
10,20.001,753213
10,20.001,805187
9,20.001,814359
9,20.001,690040
2,0.002,22
6,5.835,197242
2,0.002,68
2,0.001,93
2,0.003,114
