depth,sec,nodes
9,20.001,63210
8,20.001,56065
8,20.001,52388
7,20.001,44172
7,20.001,42381
2,0.001,38
6,20.001,33391
6,20.001,29510
7,20.002,29355
2,0.0,2
6,20.001,24111
2,0.001,146
5,20.002,21552
6,20.001,20353
2,0.001,121
5,20.001,17705
2,0.003,182
5,20.003,16279
5,20.001,15980
5,20.001,15388
5,20.002,14100
5,20.001,14430
2,0.001,59
5,20.002,14133
5,20.002,13893
5,20.002,13508
2,0.008,296
2,0.004,242
5,20.001,12664
5,20.002,11541
5,20.002,10890
3,1.101,1050
2,0.002,156
